ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_AEV,r1_AN,r1_APP,r1_APRA,r1_AvP,r1_CPP,r1_CoopP,r1_FE,r1_FE21,r1_FP,r1_FREPAP,r1_FyL,r1_JxP,r1_LP,r1_Morado,r1_Obras,r1_PBG,r1_PDF,r1_PDU,r1_PDV,r1_PID,r1_PL,r1_PLG,r1_PM4,r1_PP1,r1_PPA,r1_PPP,r1_PRG,r1_PRIN,r1_PTE,r1_Podemos,r1_PxT,r1_RP,r1_SAP,r1_SICREO,r1_SP20,r1_UCD,r1_UN,r1_total_valid,r1_blank,r1_null,r1_pct_AEV,r1_pct_AN,r1_pct_APP,r1_pct_APRA,r1_pct_AvP,r1_pct_CPP,r1_pct_CoopP,r1_pct_FE,r1_pct_FE21,r1_pct_FP,r1_pct_FREPAP,r1_pct_FyL,r1_pct_JxP,r1_pct_LP,r1_pct_Morado,r1_pct_Obras,r1_pct_PBG,r1_pct_PDF,r1_pct_PDU,r1_pct_PDV,r1_pct_PID,r1_pct_PL,r1_pct_PLG,r1_pct_PM4,r1_pct_PP1,r1_pct_PPA,r1_pct_PPP,r1_pct_PRG,r1_pct_PRIN,r1_pct_PTE,r1_pct_Podemos,r1_pct_PxT,r1_pct_RP,r1_pct_SAP,r1_pct_SICREO,r1_pct_SP20,r1_pct_UCD,r1_pct_UN,r1_winner
080118,Cusco,Cusco,,69.0,547.0,54.0,9.0,3.0,0.0,130.0,14.0,94.0,389.0,0.0,16.0,5751.0,8.0,11.0,1189.0,115.0,18.0,154.0,46.0,16.0,146.0,36.0,3.0,58.0,16.0,44.0,31.0,8.0,8.0,426.0,320.0,188.0,11.0,98.0,15.0,8.0,5.0,10054,1940,760,0.6863,5.4406,0.5371,0.0895,0.0298,0.0,1.293,0.1392,0.935,3.8691,0.0,0.1591,57.2011,0.0796,0.1094,11.8261,1.1438,0.179,1.5317,0.4575,0.1591,1.4522,0.3581,0.0298,0.5769,0.1591,0.4376,0.3083,0.0796,0.0796,4.2371,3.1828,1.8699,0.1094,0.9747,0.1492,0.0796,0.0497,JxP
080119,Cusco,Cusco,,115.0,1194.0,32.0,10.0,7.0,0.0,291.0,7.0,173.0,341.0,0.0,29.0,1652.0,9.0,40.0,1099.0,533.0,6.0,75.0,33.0,18.0,93.0,166.0,2.0,72.0,19.0,79.0,22.0,2.0,9.0,201.0,204.0,172.0,5.0,246.0,15.0,9.0,10.0,6990,692,340,1.6452,17.0815,0.4578,0.1431,0.1001,0.0,4.1631,0.1001,2.475,4.8784,0.0,0.4149,23.6338,0.1288,0.5722,15.7225,7.6252,0.0858,1.073,0.4721,0.2575,1.3305,2.3748,0.0286,1.03,0.2718,1.1302,0.3147,0.0286,0.1288,2.8755,2.9185,2.4607,0.0715,3.5193,0.2146,0.1288,0.1431,JxP
080120,Cusco,Cusco,,42.0,149.0,25.0,3.0,3.0,0.0,44.0,4.0,35.0,138.0,0.0,6.0,1561.0,2.0,2.0,389.0,56.0,3.0,74.0,18.0,7.0,42.0,18.0,0.0,11.0,10.0,33.0,7.0,4.0,1.0,98.0,36.0,50.0,4.0,31.0,0.0,3.0,2.0,2911,580,219,1.4428,5.1185,0.8588,0.1031,0.1031,0.0,1.5115,0.1374,1.2023,4.7406,0.0,0.2061,53.6242,0.0687,0.0687,13.3631,1.9237,0.1031,2.5421,0.6183,0.2405,1.4428,0.6183,0.0,0.3779,0.3435,1.1336,0.2405,0.1374,0.0344,3.3665,1.2367,1.7176,0.1374,1.0649,0.0,0.1031,0.0687,JxP
080201,CUSCO,ACOMAYO,ACOMAYO,35.0,515.0,18.0,8.0,0.0,0.0,61.0,3.0,34.0,246.0,0.0,7.0,1929.0,5.0,13.0,639.0,127.0,4.0,78.0,18.0,4.0,38.0,28.0,0.0,36.0,8.0,41.0,9.0,2.0,2.0,54.0,56.0,105.0,9.0,31.0,7.0,0.0,3.0,4173,627,305,0.8387,12.3412,0.4313,0.1917,0.0,0.0,1.4618,0.0719,0.8148,5.895,0.0,0.1677,46.2257,0.1198,0.3115,15.3127,3.0434,0.0959,1.8692,0.4313,0.0959,0.9106,0.671,0.0,0.8627,0.1917,0.9825,0.2157,0.0479,0.0479,1.294,1.342,2.5162,0.2157,0.7429,0.1677,0.0,0.0719,JxP
080202,CUSCO,ACOMAYO,ACOPIA,16.0,127.0,11.0,3.0,0.0,0.0,6.0,8.0,5.0,112.0,0.0,2.0,1101.0,5.0,1.0,230.0,9.0,6.0,36.0,8.0,1.0,27.0,7.0,2.0,18.0,3.0,11.0,26.0,3.0,0.0,54.0,13.0,23.0,11.0,10.0,2.0,6.0,0.0,1903,468,171,0.8408,6.6737,0.578,0.1576,0.0,0.0,0.3153,0.4204,0.2627,5.8854,0.0,0.1051,57.856,0.2627,0.0525,12.0862,0.4729,0.3153,1.8917,0.4204,0.0525,1.4188,0.3678,0.1051,0.9459,0.1576,0.578,1.3663,0.1576,0.0,2.8376,0.6831,1.2086,0.578,0.5255,0.1051,0.3153,0.0,JxP
080203,CUSCO,ACOMAYO,ACOS,8.0,73.0,2.0,0.0,1.0,0.0,8.0,5.0,7.0,96.0,0.0,1.0,1166.0,1.0,1.0,202.0,5.0,0.0,56.0,7.0,1.0,12.0,9.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,56.0,12.0,9.0,2.0,7.0,0.0,0.0,2.0,1765,309,107,0.4533,4.136,0.1133,0.0,0.0567,0.0,0.4533,0.2833,0.3966,5.4391,0.0,0.0567,66.0623,0.0567,0.0567,11.4448,0.2833,0.0,3.1728,0.3966,0.0567,0.6799,0.5099,0.0567,0.3399,0.17,0.2266,0.0567,0.0567,0.0,3.1728,0.6799,0.5099,0.1133,0.3966,0.0,0.0,0.1133,JxP
080204,CUSCO,ACOMAYO,MOSOC LLACTA,12.0,102.0,10.0,1.0,1.0,0.0,10.0,5.0,3.0,103.0,0.0,2.0,567.0,1.0,0.0,142.0,27.0,2.0,22.0,9.0,1.0,12.0,4.0,0.0,4.0,6.0,7.0,5.0,1.0,1.0,28.0,10.0,21.0,2.0,4.0,2.0,0.0,0.0,1127,186,57,1.0648,9.0506,0.8873,0.0887,0.0887,0.0,0.8873,0.4437,0.2662,9.1393,0.0,0.1775,50.3106,0.0887,0.0,12.5998,2.3957,0.1775,1.9521,0.7986,0.0887,1.0648,0.3549,0.0,0.3549,0.5324,0.6211,0.4437,0.0887,0.0887,2.4845,0.8873,1.8634,0.1775,0.3549,0.1775,0.0,0.0,JxP
080205,CUSCO,ACOMAYO,POMACANCHI,17.0,142.0,2.0,1.0,1.0,0.0,6.0,2.0,10.0,114.0,0.0,0.0,430.0,1.0,3.0,111.0,22.0,2.0,16.0,10.0,0.0,17.0,6.0,1.0,7.0,1.0,5.0,1.0,0.0,0.0,29.0,3.0,15.0,1.0,10.0,1.0,1.0,3.0,991,162,46,1.7154,14.329,0.2018,0.1009,0.1009,0.0,0.6054,0.2018,1.0091,11.5035,0.0,0.0,43.3905,0.1009,0.3027,11.2008,2.22,0.2018,1.6145,1.0091,0.0,1.7154,0.6054,0.1009,0.7064,0.1009,0.5045,0.1009,0.0,0.0,2.9263,0.3027,1.5136,0.1009,1.0091,0.1009,0.1009,0.3027,JxP
080206,CUSCO,ACOMAYO,RONDOCAN,26.0,213.0,14.0,5.0,2.0,0.0,34.0,4.0,38.0,252.0,0.0,3.0,2693.0,3.0,3.0,698.0,59.0,12.0,54.0,17.0,3.0,57.0,19.0,1.0,40.0,5.0,75.0,44.0,1.0,3.0,191.0,34.0,119.0,7.0,44.0,2.0,15.0,8.0,4798,792,302,0.5419,4.4393,0.2918,0.1042,0.0417,0.0,0.7086,0.0834,0.792,5.2522,0.0,0.0625,56.1276,0.0625,0.0625,14.5477,1.2297,0.2501,1.1255,0.3543,0.0625,1.188,0.396,0.0208,0.8337,0.1042,1.5632,0.917,0.0208,0.0625,3.9808,0.7086,2.4802,0.1459,0.917,0.0417,0.3126,0.1667,JxP
080207,CUSCO,ACOMAYO,SANGARARA,13.0,112.0,6.0,3.0,1.0,0.0,19.0,3.0,24.0,113.0,0.0,4.0,767.0,2.0,6.0,189.0,21.0,2.0,19.0,7.0,5.0,20.0,10.0,0.0,21.0,1.0,14.0,2.0,0.0,1.0,36.0,9.0,45.0,1.0,18.0,4.0,0.0,2.0,1500,256,134,0.8667,7.4667,0.4,0.2,0.0667,0.0,1.2667,0.2,1.6,7.5333,0.0,0.2667,51.1333,0.1333,0.4,12.6,1.4,0.1333,1.2667,0.4667,0.3333,1.3333,0.6667,0.0,1.4,0.0667,0.9333,0.1333,0.0,0.0667,2.4,0.6,3.0,0.0667,1.2,0.2667,0.0,0.1333,JxP
