ubigeo,DEPARTAMENTO,PROVINCIA,DISTRITO,r1_PNP,r1_FA,r1_PM,r1_PPS,r1_VN,r1_AP,r1_AvP,r1_PP,r1_JP,r1_PPC,r1_FP,r1_UPP,r1_RP,r1_RUNA,r1_SP,r1_PL,r1_DD,r1_APP,VOTOS_VB,VOTOS_VN,VOTOS_VI,r1_total_valid,r1_blank,r1_null,r1_pct_PNP,r1_pct_FA,r1_pct_PM,r1_pct_PPS,r1_pct_VN,r1_pct_AP,r1_pct_AvP,r1_pct_PP,r1_pct_JP,r1_pct_PPC,r1_pct_FP,r1_pct_UPP,r1_pct_RP,r1_pct_RUNA,r1_pct_SP,r1_pct_PL,r1_pct_DD,r1_pct_APP,r2_castillo,r2_fujimori,r2_blank,r2_null,r2_total_valid,r2_pct_castillo,r2_pct_fujimori,r2_margin,r2_winner
250304,UCAYALI,ATALAYA,SEPAHUA,30.0,11.0,17.0,5.0,58.0,271.0,46.0,58.0,69.0,25.0,600.0,9.0,37.0,9.0,22.0,162.0,5.0,125.0,963.0,135.0,0.0,1559.0,963.0,135.0,1.92,0.71,1.09,0.32,3.72,17.38,2.95,3.72,4.43,1.6,38.49,0.58,2.37,0.58,1.41,10.39,0.32,8.02,881.0,1678.0,41.0,148.0,2559.0,34.43,65.57,-31.14,Fujimori
250401,UCAYALI,PURÚS,PURÚS,7.0,4.0,3.0,1.0,10.0,48.0,8.0,28.0,33.0,20.0,195.0,7.0,11.0,7.0,36.0,115.0,0.0,292.0,422.0,182.0,0.0,825.0,422.0,182.0,0.85,0.48,0.36,0.12,1.21,5.82,0.97,3.39,4.0,2.42,23.64,0.85,1.33,0.85,4.36,13.94,0.0,35.39,369.0,1054.0,15.0,51.0,1423.0,25.93,74.07,-48.14,Fujimori
910101,AFRICA,ARGELIA,ARGEL,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,14.29,0.0,14.29,14.29,0.0,14.29,14.29,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,33.33,66.67,-33.34,Fujimori
910302,AFRICA,REPUBLICA ARABE DE EGIPTO,EL CAIRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,2.0,9.0,66.67,33.33,33.34,Castillo
910502,AFRICA,MARRUECOS,RABAT,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,14.29,28.57,0.0,0.0,0.0,14.29,0.0,0.0,28.57,0.0,0.0,14.29,0.0,0.0,3.0,6.0,0.0,1.0,9.0,33.33,66.67,-33.34,Fujimori
910603,AFRICA,SUDAFRICA,PRETORIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,7.0,28.57,71.43,-42.86,Fujimori
910604,AFRICA,SUDAFRICA,JOHANNESBURGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,,1.0,37.0,0.0,0.0,38.0,2.63,97.37,-94.74,Fujimori
920101,AMERICA,ANTILLAS HOLANDESAS,ARUBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,75.0,321.0,3.0,19.0,396.0,18.94,81.06,-62.12,Fujimori
920202,AMERICA,ARGENTINA,BUENOS AIRES,481.0,203.0,544.0,166.0,1430.0,1406.0,1599.0,590.0,2344.0,496.0,3832.0,197.0,2542.0,112.0,451.0,2064.0,103.0,606.0,6474.0,4626.0,0.0,19166.0,6474.0,4626.0,2.51,1.06,2.84,0.87,7.46,7.34,8.34,3.08,12.23,2.59,19.99,1.03,13.26,0.58,2.35,10.77,0.54,3.16,13435.0,19024.0,288.0,3355.0,32459.0,41.39,58.61,-17.22,Fujimori
920203,AMERICA,ARGENTINA,CORDOBA,101.0,39.0,105.0,33.0,320.0,292.0,280.0,126.0,339.0,87.0,871.0,30.0,472.0,16.0,103.0,598.0,29.0,179.0,1436.0,628.0,0.0,4020.0,1436.0,628.0,2.51,0.97,2.61,0.82,7.96,7.26,6.97,3.13,8.43,2.16,21.67,0.75,11.74,0.4,2.56,14.88,0.72,4.45,2559.0,2897.0,54.0,736.0,5456.0,46.9,53.1,-6.2,Fujimori
