ubigeo,departamento,provincia,distrito,DQ1_bad_total_pop,DQ4_density_broken,DQ3_education_outlier,DQ2_pobreza_idh_outlier,total_pop_raw,pob_densidad_2020,recomputed_density_raw,recomputed_density_fixed,density_ratio_csv_over_2017,pct_superior_cualquiera,pct_pobreza_total,idh_2019,pobreza_idh_resid_z
080108,CUSCO,CUSCO,WANCHAQ,False,False,True,False,58541.0,13399.5297805643,9175.705329153605,9175.705329153605,1.4603269503424992,59.18,1.376287,0.7389014524656409,-0.15038970907226892
080303,CUSCO,ANTA,CACHIMAYO,False,False,True,False,2382.0,63.6321626617375,55.036968576709796,55.036968576709796,1.1561712846347603,25.42,10.934872,0.550183952624744,-0.9421143109304911
080601,CUSCO,CANCHIS,SICUANI,False,False,True,False,57827.0,102.721867839227,89.5321112280919,89.5321112280919,1.1473187265464218,27.39,23.505524,0.526564382492377,0.04319930030548219
080901,CUSCO,LA CONVENCION,SANTA ANA,False,False,True,False,27999.0,115.673344462994,77.90484140233724,77.90484140233724,1.484803028679597,28.53,8.292162,0.5803892132127199,-0.9214872496555008
081301,CUSCO,URUBAMBA,URUBAMBA,False,False,True,False,20082.0,200.576863111943,156.54817586529467,156.54817586529467,1.2812468877601857,27.62,21.066471,0.596122551108486,0.4383704142575853
081304,CUSCO,URUBAMBA,MACHUPICCHU,False,False,True,False,5347.0,33.1196581196581,19.698644267609787,19.698644267609787,1.6813166261455008,40.71,23.51616,0.729356965896056,1.874250475154514
081307,CUSCO,URUBAMBA,YUCAY,False,False,True,False,3223.0,46.8896131500638,45.670964999291485,45.670964999291485,1.0266832143965257,36.35,14.017021,0.6467436323237579,0.2231037454470898
090101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,False,False,True,False,39776.0,85.5378331063995,77.37016144718926,77.37016144718926,1.1055661705551083,41.48,17.073401,0.611557767984601,0.1969692833264719
090118,HUANCAVELICA,HUANCAVELICA,ASCENSION,False,False,True,False,15566.0,30.4946326115121,36.01240051823061,36.01240051823061,0.8467814467429005,29.81,16.825292,0.5870282334318049,-0.04804391588331059
090309,HUANCAVELICA,ANGARAES,JULCAMARCA,False,False,True,False,1736.0,25.591442090104895,35.71281629294384,35.71281629294384,0.7165898617511514,28.02,28.39438,0.509657386733044,0.3567212828254812
090310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,False,True,False,False,2323.0,31.3584679832436,69.50927588270497,69.50927588270497,0.45114076625053856,16.53,40.63401,0.288567436529704,-0.4715327125373154
090701,HUANCAVELICA,TAYACAJA,PAMPAS,False,False,True,False,10061.0,97.2219675437792,92.24351334005685,92.24351334005685,1.0539707782526584,25.22,28.008037,0.497812639134856,0.21299895434669017
