ubigeo,department,provincia,distrito,landredist_pc,landredist_pcprivate,landredist_pc_2,landdist_uncult_pc,D_LRSurfaceArea50th,LRpercap_calweighted_log,prop_ha_ths,imputed,lr_parent_ubigeo
020802,Áncash,CASMA,BUENA VISTA ALTA,0.052995767,0.8986784,0.0028085513,0.0,0.0,3.620314,1.15607,False,20802
020803,Áncash,CASMA,COMANDANTE NOEL,0.021320751,0.2678863,0.00045457442,0.0,0.0,0.97971946,0.57632,False,20803
020804,Áncash,CASMA,YAUTAN,0.062201012,0.8816797,0.003868966,0.0,0.0,2.9908483,0.89095,False,20804
020901,Áncash,CORONGO,CORONGO,0.00019710712,0.002674379,3.8851216e-08,0.0,0.0,0.0058215177,0.64729,False,20901
020902,Áncash,CORONGO,ACO,0.0002031748,0.002674379,4.128e-08,0.0,0.0,0.007115094,0.26744,False,20902
020903,Áncash,CORONGO,BAMBAS,0.0026743787,0.0026747107,7.1523014e-06,0.0,0.0,2.2238288,91.77599,False,20903
020904,Áncash,CORONGO,CUSCA,0.7965029,0.80793685,0.6344169,0.0,1.0,71.834045,0.15375,False,20904
020905,Áncash,CORONGO,LA PAMPA,0.23307125,0.46945116,0.05432221,0.0,0.0,11.189174,4.5064,False,20905
020906,Áncash,CORONGO,YANAC,0.0011211532,0.002674379,1.2569845e-06,0.0,0.0,0.029773315,1.74002,False,20906
020907,Áncash,CORONGO,YUPAN,8.829901e-05,0.002674379,7.796716e-09,0.0,0.0,0.008696625,0.22692999,False,20907
021001,Áncash,HUARI,HUARI,0.1913369,0.57250726,0.03660981,0.0,0.0,2.0115492,21.14752,False,21001
021003,Áncash,HUARI,CAJAY,0.034958277,0.06374971,0.0012220811,0.0,0.0,0.64069164,2.2265,False,21003
021004,Áncash,HUARI,CHAVIN DE HUANTAR,0.3814053,1.0,0.14547,0.0,0.0,0.0,6.4767404,False,21004
021005,Áncash,HUARI,HUACACHI,0.057909425,0.15286745,0.0033535014,0.0,0.0,1.0563443,9.9989805,False,21005
021006,Áncash,HUARI,HUACCHIS,0.31508034,1.0,0.099275626,0.0,0.0,7.496694,7.21519,False,21006
021007,Áncash,HUARI,HUACHIS,0.587525,1.0,0.34518564,0.0,1.0,9.436319,3.3997,False,21007
021008,Áncash,HUARI,HUANTAR,0.03930865,0.19455288,0.0015451699,0.0,0.0,0.0,2.67901,False,21008
021009,Áncash,HUARI,MASIN,0.09983152,0.39787826,0.009966332,0.0,0.0,1.1682724,1.5985501,False,21009
021010,Áncash,HUARI,PAUCAS,0.0017003171,0.00919921,2.8910783e-06,0.0,0.0,0.061569907,7.61946,False,21010
021011,Áncash,HUARI,PONTO,0.020493764,0.07223873,0.00041999438,0.0,0.0,0.31622756,3.38146,False,21011
021012,Áncash,HUARI,RAHUAPAMPA,0.0005817287,0.002674379,3.3840828e-07,0.0,0.0,0.0025843559,0.15022,False,21012
021013,Áncash,HUARI,RAPAYAN,0.005521648,0.051831417,3.0488598e-05,0.0,0.0,0.23088992,1.11924,False,21013
021014,Áncash,HUARI,SAN MARCOS,0.21403539,1.0,0.04581115,0.0,0.0,0.0,6.7170095,False,21014
021015,Áncash,HUARI,SAN PEDRO DE CHANA,0.08459363,0.8421856,0.0071560824,0.0,0.0,1.4755282,0.37877,False,21015
021101,Áncash,HUARMEY,HUARMEY,0.013170191,0.805253,0.00017345394,0.0009404751,0.0,1.955461,3.2165601,False,21101
021102,Áncash,HUARMEY,COCHAPETI,0.016585432,0.17544222,0.00027507654,0.0,0.0,0.8316636,6.34283,False,21102
021104,Áncash,HUARMEY,HUAYAN,0.009725777,0.09669039,9.4590745e-05,0.0,0.0,0.52686995,10.83605,False,21104
021105,Áncash,HUARMEY,MALVAS,0.31223872,1.0,0.09749302,0.0,0.0,27.43391,6.47534,False,21105
